البيت كامل,صدر البيت  الأول,عجز البيت الأول,صدر البيت التاني ,عجز البيت التاني ,البيت الخامس,اسم الشاعر,نوع النص(فخر/هجاء/غزل),تصنيف النص دوبيت ام لا,عدد الأبيات 
متين يا حسين اشوف لوحك معلق ، لاحسين كتل لاحسين مغلق . لاحسين ركب للغي شايته غلق . قاعد للزكا ولقط المحملق,متين يا حسين اشوف لوحك معلق,لاحسين كتل لاحسين مغلق,لاحسين ركب للغي شايته غلق,قاعد للزكا ولقط المحملق,,شغبة ,التصح,نعم,4
ياحسين انا امك وانت ماك ولدي .. بطنك كرشت غي البنات ناسي .. ودقنك حمست جلدك خرس مافي .. ولاك مضروب بحد السيف نكمد في .. ولاك مضروب بلسان الطير نفصد في,ياحسين انا امك وانت ماك ولدي,بطنك كرشت غي البنات ناسي,ودقنك حمست جلدك خرس مافي,ولاك مضروب بحد السيف نكمد في,ولاك مضروب بلسان الطير نفصد في,شغبة,النصح,نعم,2
نوح من دا الخراب .. وكمان نوح من دا الخراب .. عجب عيني بياكلن في الكلاب .. وود اقلس ميح من الركاب .. ودا كله خير من قولة جفلوا المرغاب,نوح من دا الخراب,وكمان نوح من دا الخراب,عجب عيني بياكلن في الكلاب,وود اقلس ميح من الركاب,ودا كله خير من قولة جفلوا المرغاب,شغبة ,الرثاء ,نعم,3
الليلة القلب شعن جروح جداد .. وهفن لي البجان عركسن بي هواد .. كميع البراطمه تحبكن بي سواد .. يا محافظ حواك من لحظة الحساد,الليلة القلب شعن جروح جداد,وهفن لي البجان عركسن بي هواد,كميع البراطمه تحبكن بي سواد,يا محافظ حواك من لحظة الحساد,,الطيب,وصف,نعم,2
شعرا ريش نعام والوجه سمح مصقول .. وعنقا صب قزاز صانعنو في اسطنبول .. اكتافا هدل والليد تقول مجدول .. قامت في القياس بين القصر والطول,شعرا ريش نعام والوجه سمح مصقول,وعنقا صب قزاز صانعنو في اسطنبول,اكتافا هدل والليد تقول مجدول,قامت في القياس بين القصر والطول,,عبدالله احمد ابوسن,غزل,نعم,2
الوطن العزيز علمه بيرفرف فوقه .. والغاصب طلع يبكي ويحن بي شوقه .. يا مالك الحلو من الحناضل ضوقه .. سودانا العظيم فتح الطريق لي سوقه,الوطن العزيز علمه بيرفرف فوقه,والغاصب طلع يبكي ويحن بي شوقه,يا مالك الحلو من الحناضل ضوقه,سودانا العظيم فتح الطريق لي سوقه,,حسن خلف الله,فخر,نعم,2
اتلملمت جهينة وطرطر ام هبود .. وحسبونا بنجدع بالحجر والعود .. استنوهم صباحات الكواهلة قعود .. عدوهم شموم زي النعام في الفود .. بسراع شبعوا اللين من المترود,اتلملمت جهينة وطرطر ام هبود,وحسبونا بنجدع بالحجر والعود,استنوهم صباحات الكواهلة قعود,عدوهم شموم زي النعام في الفود,بسراع شبعوا اللين من المترود,شغبة,وصف,نعم,3
اتلملمت جهبنة والسدارنه الزرق .. استنوهم صباحات الكواهلة الفرق .. عدوهم شموم زي النعام الطرق .. بسراع شبعوا اللين كراستن برق,اتلملمت جهبنة والسدارنه الزرق,استنوهم صباحات الكواهلة الفرق,عدوهم شموم زي النعام الطرق,بسراع شبعوا اللين كراستن برق,,شغبة,وصف,نعم,2
يا عتيت كبرنا وحالنا تب مازل .. وكل يوم في هوها مغيرين منزل .. وين ما طريت ال دماعو جا منهل .. حلق الريف بوج ناري وغميضك قل,يا عتيت كبرنا وحالنا تب مازل,وكل يوم في هوها مغيرين منزل,وين ما طريت ال دماعو جا منهل,حلق الريف بوج ناري وغميضك قل,,الحردلو,وصف/غزل,نعم,2
يا عتبت كبرنا وحالنا تب ما تروح .. وكل يوم في هواها مقبضك مطروح .. وين ما طريت ال دماعو جا مسروح .. حلق الريف بوج ناري وغميضك اروح,يا عتبت كبرنا وحالنا تب ما تروح,وكل يوم في هواها مقبضك مطروح,وين ما طريت ال دماعو جا مسروح,حلق الريف بوج ناري وغميضك اروح,,الحردلو,وصف/غزل,نعم,2
وحاة شيخ طرقك اللاقي لي برحه وإجازة .. أكنت بسلبه السدر الشرايط جازه .. أكان من الأشو ماقالوا عنده عرازه .. ما بشبهلو تعب أب دومة النزازه,وحاة شيخ طرقك اللاقي لي برحه وإجازة,أكنت بسلبه السدر الشرايط جازه,أكان من الأشو ماقالوا عنده عرازه,ما بشبهلو تعب أب دومة النزازه,,الطيب مصطفى,,نعم,2
يا بو الشيخ كلامك حالي فيه لزازه .. فوق صلتيتة اب هجبه العرض بالبازه .. فطيمة الرده بالقفر الملين مي عزازه .. أول لوحه من صاحب الشديد فزازه,يا بو الشيخ كلامك حالي فيه لزازه,فوق صلتيتة اب هجبه العرض بالبازه,فطيمة الرده بالقفر الملين مي عزازه,أول لوحه من صاحب الشديد فزازه,,الطيب مصطفى,وصف,نعم,2
أنا مالي ذكرتوني قلبي استازي .. من العنقة رومية وطرد حزازه .. مكلوف ناس علي التاته بدور له برازه .. هدي عنز الشريطات النبت قمازه ,أنا مالي ذكرتوني قلبي استازي,من العنقة رومية وطرد حزازه,مكلوف ناس علي التاته بدور له برازه,هدي عنز الشريطات النبت قمازه,,الطيب مصطفى,,نعم,2
النوى لي بلادو يابس السيقان .. وحامت بالتبوب مربوعة الحيوان .. قالوا لي إن ملقنك شيطان .. قرفيط الجناح دايرك تعرفه كمان,النوى لي بلادو يابس السيقان,وحامت بالتبوب مربوعة الحيوان,قالوا لي إن ملقنك شيطان,قرفيط الجناح دايرك تعرفه كمان,,ود الصقيع,هجاء لكباسة ,نعم,2
النوى لي بلادو النعام في الطير .. وحامت بالتبوب وزينة الدوير .. إل لقني جان والجان ملك يا عوير .. وقرفيط الجناح داك الجراد يا عير,النوى لي بلادو النعام في الطير,وحامت بالتبوب وزينة الدوير,إل لقني جان والجان ملك يا عوير,وقرفيط الجناح داك الجراد يا عير,,عبدالله عبدالرحمن (كباسة الضرير),هجاء ود الصقيع (رد),نعم,2
إن سألوني بالذمة الصريح بحكاه .. حبك سلب الدوف والعضم حكاه .. البجنين بلا ليمك ضرر مشكاه .. فرقك يالرخيص أبكاني وأبكاه,إن سألوني بالذمة الصريح بحكاه,حبك سلب الدوف والعضم حكاه ,البجنين بلا ليمك ضرر مشكاه,فرقك يالرخيص أبكاني وأبكاه,,أحمد أبو الصادق,غزل,نعم,2
ياعثمان اخوي الباديه طارت ليه .. كجنت الجمال وكرهت دروب الصيه .. داير اشوف بيوتا بالحجر مبنيه .. داير اشوف عيون الصيده في الآدمية,ياعثمان اخوي الباديه طارت ليه,كجنت الجمال وكرهت دروب الصيه,داير اشوف بيوتا بالحجر مبنيه,داير اشوف عيون الصيده في الآدمية,,رجل البادية,,نعم,2
ياخوي اللمين أنا قلبي حن عليكا .. ياريت ماطريت اهل المداين ليكا .. فك رسن القعود قوماك علي واديكا .. في شجر الأراك ظبي الفريق راجيكا,ياخوي اللمين أنا قلبي حن عليكا,ياريت ماطريت اهل المداين ليكا,فك رسن القعود قوماك علي واديكا,في شجر الأراك ظبي الفريق راجيكا,,رجل المدينة,,نعم,2
يا عثمان اخوي  إنت المدن شارقاكا .. إنت نشدت فيها وقلت فوقه غناكا .. هزيت المسامع بي جميل مغناكا .. أطريت البلابل اللي كانوا معاكا ,يا عثمان اخوي  إنت المدن شارقاكا,إنت نشدت فيها وقلت فوقه غناكا,هزيت المسامع بي جميل مغناكا,أطريت البلابل اللي كانوا معاكا,,رجل البادية,,نعم,2
ياخوي اللمين مالو الدرب طال بينا .. ومالنا دهبنا اللي فينا ربينا .. داك نور المدينة ظهر جهر عينينا .. أنا داير أشوف نور البتول وسكينة,ياخوي اللمين مالو الدرب طال بينا,ومالنا دهبنا اللي فينا ربينا,داك نور المدينة ظهر جهر عينينا,أنا داير أشوف نور البتول وسكينة,,رجل المدينة,,نعم,2
كم كربته من الصبح للغيبة .. وكم شقيت فيافي وكم كتلت دبيبة .. أموال الرجال مهما تكن بنجيبه .. كربته يا جمل في ريرا لي حبيبة,كم كربته من الصبح للغيبة,وكم شقيت فيافي وكم كتلت دبيبة,أموال الرجال مهما تكن بنجيبه,كربته يا جمل في ريرا لي حبيبة,,طه الضرير,وصف,,2
قال لي الجمل يا سيدي أرخي رسيني .. وانا عارف الطريق بالله ما توصيني .. لازم زين الحبيبة ليك بصل في حيني .. وان بطلت بكره السوق عصر وديني,قال لي الجمل يا سيدي أرخي رسيني,وانا عارف الطريق بالله ما توصيني,لازم زين الحبيبة ليك بصل في حيني,وان بطلت بكره السوق عصر وديني,,طه الضرير,وصف,,2
أداها الإذن يوم الزيارة حليله .. جات بي خفية ليل تتنى قاصده عليلة .. جابت ليها كلمة ماه عارفة دليله .. قالت يالخزين كيف حالك انت الليلة,أداها الإذن يوم الزيارة حليله,جات بي خفية ليل تتنى قاصده عليلة,جابت ليها كلمة ماه عارفة دليله,قالت يالخزين كيف حالك انت الليلة,,عمر بن أبي ربيعة,غزل,,2
قلت سيبي حالي البي وديل أسراري .. أربعة ظاهرات يكفوك عن إقراري .. فاطرك والشليخ الديمه لامع يراري .. خدم والعيون زاد منهن إضراري,قلت سيبي حالي البي وديل أسراري,أربعة ظاهرات يكفوك عن إقراري,فاطرك والشليخ الديمه لامع يراري,خدم والعيون زاد منهن إضراري,,عمر بن أبي ربيعة,غزل,,2
لاكين يا ام خد بي نيتك انت جُزيت .. وبي رنعة ظهيرك زدت لي أزيتي .. كان ماك عارفة من جيهتك حرمت مزيتي .. ليه عند الضحك تتني قاصده أزيتي,لاكين يا ام خد بي نيتك انت جُزيت,وبي رنعة ظهيرك زدت لي أزيتي,كان ماك عارفة من جيهتك حرمت مزيتي,ليه عند الضحك تتني قاصده أزيتي,,عمر بن أبي ربيعة,غزل,,2
قالت لي ياخوي عظمت لي جنيتي .. عاد ياخوي مابقصد أذاك بي نيتي .. لاكين الله تقل لي الصدر في بنيتي .. يرجح بالضمير واتنى من دون نيتي,قالت لي ياخوي عظمت لي جنيتي,عاد ياخوي مابقصد أذاك بي نيتي,لاكين الله تقل لي الصدر في بنيتي,يرجح بالضمير واتنى من دون نيتي,,عمر بن أبي ربيعة,غزل,,2
ياعتيت كبرنا وحالنا تب مازل .. وكل يوم في هواها مغيرين منزل .. وين ما طريت ال دماعه جرى منهل .. حلق الريف بوج ناري وغميضك قل,ياعتيت كبرنا وحالنا تب مازل,وكل يوم في هواها مغيرين منزل,وين ما طريت ال دماعه جرى منهل,حلق الريف بوج ناري وغميضك قل,,,غزل,,2
بريد الحادق المابجيب كلاما شاز .. بريد الفي طلق نار القمير والجاز .. بريد القامته مربوعه وبراطمه لزاز .. بريده وأصله عاجبني ودروبه عراز,بريد الحادق المابجيب كلاما شاز,بريد الفي طلق نار القمير والجاز,بريد القامته مربوعه وبراطمه لزاز,بريده وأصله عاجبني ودروبه عراز,,حمد علي الحلال الشكري,,,
براق العشا الغرباني دازني علايل .. وهفن لي بسيمات الظريف مو مايل .. البي زوقه فاق عبله ام جمالا هايل .. النقرابي والشف في ام فنايد خايل,براق العشا الغرباني دازني علايل,وهفن لي بسيمات الظريف مو مايل,البي زوقه فاق عبله ام جمالا هايل,النقرابي والشف في ام فنايد خايل,,عبدالله شوران,,,
حميان الشمس أدا الترع قلاله .. جف الطين وقف بقت الأرض ملاله .. قام بيهن خبير الكان قبيل دلاله .. وقفن وقلن بس كاس البلاله,حميان الشمس أدا الترع قلاله,جف الطين وقف بقت الأرض ملاله,قام بيهن خبير الكان قبيل دلاله,وقفن وقلن بس كاس البلاله,,لايوجد,,,
ناس قدر الله قاعدين في البيوت ما بخو تره .. من كبي وكشف حال الحريم ما بفو تره .. أنا بختر براي أسد الرديم أنوتره .. صاحبي ان ضل ما بفشي به والله بسوتره,ناس قدر الله قاعدين في البيوت ما بخو تره,من كبي وكشف حال الحريم ما بفو تره,أنا بختر براي أسد الرديم أنوتره,صاحبي ان ضل ما بفشي به والله بسوتره,,الطيب ود ضحوية,,,
جنيبة الفارس الفوق النحاس فشار .. عملت جوفي خشبا في سدر منشار .. فرق الشوقها لديغ الفصوصها كبار .. خلي جنابي ماسك كل يوم مسدار,جنيبة الفارس الفوق النحاس فشار,عملت جوفي خشبا في سدر منشار,فرق الشوقها لديغ الفصوصها كبار,خلي جنابي ماسك كل يوم مسدار,,ودشورناني,غزل,مسدار,
من بربر مرقنا على العديلا .. تبارك الخطوة يافارق النتيلا .. جيت غاشي اب تقر للمويا شيلا .. المبيت ام عطفه قاسي علي مقيلا,من بربر مرقنا على العديلا,تبارك الخطوة يافارق النتيلا,جيت غاشي اب تقر للمويا شيلا,المبيت ام عطفه قاسي علي مقيلا,,ابراهيم ود الفراش,,مسدار,
رفاعة الرب قافاها البليب طربان .. ناطحة المنة ميزان قلبي مو خربان .. مشتول السواقي الباللدوب شربان .. بلوده بعيدة في بادية العربان,رفاعة الرب قافاها البليب طربان,ناطحة المنة ميزان قلبي مو خربان,مشتول السواقي الباللدوب شربان,بلوده بعيدة في بادية العربان,,احمد عبدالكريم ابوسن,,مسدار,
غاب نجم النطح والحر علينا اشتد .. ضيفنا وقصر ليله ونهاره امتد .. نظره المنو للقانون بقيت اتحدى .. فتحت عندي منطقة الغنا اللي انسد,غاب نجم النطح والحر علينا اشتد,ضيفنا وقصر ليله ونهاره امتد,نظره المنو للقانون بقيت اتحدى,فتحت عندي منطقة الغنا اللي انسد,,ودشورناني,,مسدار,
الليلة الفغر بادرني بي نسام .. حرك ساكنا ما بلقى منه منام .. بريب وادي غبته محدج الأسهام .. الريد في العقول إلا المحبة أقسام,الليلة الفغر بادرني بي نسام,حرك ساكنا ما بلقى منه منام,بريب وادي غبته محدج الأسهام,الريد في العقول إلا المحبة أقسام,,الطيب مصطفى,,,
من آم عطفه قام بي النفيل .. يطبق في القرب الخبوة ديل .. قال لي العلوق ليشن قليل .. ضحايا بدري جيت في الباك مقيل,من آم عطفه قام بي النفيل,يطبق في القرب الخبوة ديل,قال لي العلوق ليشن قليل,ضحايا بدري جيت في الباك مقيل,,ابراهيم ود الفراش,وصف,مسدار,
من الباك سقيته لكان يوبو .. يكربت بي سمح ماسك دريبو .. تقول مرناع يجدع في نديبو .. المبيت الباونيب في اللايميبو,من الباك سقيته لكان يوبو,يكربت بي سمح ماسك دريبو,تقول مرناع يجدع في نديبو,المبيت الباونيب في اللايميبو,,ابراهيم ود الفراش,وصف,مسدار,
من اللايميب سمح وقيلو .. وجاته الحالة دوماتو يسيلو .. قال لي العلوق يا سيدي شيلو .. الوغد ماسك له في كوكريب مقيلو,من اللايميب سمح وقيلو,وجاته الحالة دوماتو يسيلو,قال لي العلوق يا سيدي شيلو,الوغد ماسك له في كوكريب مقيلو,,ابراهيم ود الفراش,وصف,مسدار,
من الكوكريب العيش أباه .. يقمز بي فرحان بي غناه .. أبا داب الجبل حقبه وقفاه .. وفي هاريت ري زولا سقاه,من الكوكريب العيش أباه,يقمز بي فرحان بي غناه,أبا داب الجبل حقبه وقفاه,وفي هاريت ري زولا سقاه,,ابراهيم ود الفراش,وصف,مسدار,
في هاريت حطيت فوقه حطه .. يقمز بي كمان ياخد له نطه .. جبل اودوس بدا وجيت فاطه بطه .. نزل توبلال هناك فوق المحطه,في هاريت حطيت فوقه حطه,يقمز بي كمان ياخد له نطه,جبل اودوس بدا وجيت فاطه بطه,نزل توبلال هناك فوق المحطه,,ابراهيم ود الفراش,وصف,مسدار,
من توبلاك سلك خلى الفتاته .. وجاته الحاله سقرب بي تلاته .. بديت أسقيه انا وقاصد به شاطه .. عصر هندوب سواطن بدري باته,من توبلاك سلك خلى الفتاته,وجاته الحاله سقرب بي تلاته,بديت أسقيه انا وقاصد به شاطه,عصر هندوب سواطن بدري باته,,ابراهيم ود الفراش,وصف,مسدار,
من هندوب غرب شفت الصرايا .. بشم نفسا زكي وريحة الجدايا .. بشوف عربا سلامن لي دبايا .. ترى البنيان أهل دنيا وعرايا,من هندوب غرب شفت الصرايا,بشم نفسا زكي وريحة الجدايا,بشوف عربا سلامن لي دبايا,ترى البنيان أهل دنيا وعرايا,,ابراهيم ود الفراش,وصف,مسدار,